universe,strategy_id,period,start,end,sharpe,delta_sharpe_vs_full_target,avg_turnover,delta_turnover_vs_full_target,maxdd,delta_maxdd_vs_full_target,max_abs_exposure
GlobalCountries,defensive_momentum_nc,late,2019-04-18,2025-12-11,0.3629192787118302,0.7328716192281424,0.2465165878649094,-0.6386503430764552,-0.0268901595789008,0.115013107669656,3.3306690738754696e-16
GlobalCountries,ensemble_continuous_nc,early,2006-01-04,2012-08-22,-0.1373108595283133,0.3900015082393389,0.3762198403701952,-0.5321334668789699,-0.0850713791470912,0.1127727075303569,5.342948306008566e-16
GlobalCountries,ensemble_continuous_nc,middle,2012-08-23,2019-04-17,-0.2679976056276553,0.3008348869457432,0.4497195498959633,-0.4956587387612736,-0.1337552669798485,0.0694245828528246,1.5369649997154509e-15
GlobalCountries,ensemble_continuous_nc,late,2019-04-18,2025-12-11,0.5767691671877873,0.9467215077040994,0.4182079153725876,-0.4669590155687769,-0.0463221099453983,0.0955811573031585,5.551115123125784e-16
GlobalCountries,reversal_continuous_nc,early,2006-01-04,2012-08-22,0.4806559243736419,1.0079682921412942,0.8378574337507771,-0.0704958734983879,-0.0915163911750305,0.1063276955024177,7.077671781985373e-16
GlobalCountries,reversal_continuous_nc,middle,2012-08-23,2019-04-17,0.4332104358951768,1.0020429284685752,0.8554754721800905,-0.0899028164771464,-0.0676500577392983,0.1355297920933748,1.2871648191747909e-15
GlobalCountries,reversal_continuous_nc,late,2019-04-18,2025-12-11,0.600511072975865,0.9704634134921772,0.8931155322441233,0.0079486013027587,-0.0594536813678113,0.0824495858807454,5.551115123125784e-16
USBonds,defensive_momentum_nc,early,2006-01-04,2012-08-22,0.1229500498383879,0.0276092050607112,0.1607200517140866,-0.7248904735262136,-0.0290747091742543,0.0399105250526377,3.624417618807483e-16
USBonds,defensive_momentum_nc,middle,2012-08-23,2019-04-17,0.5904868669444832,0.189162041237997,0.1467341389392101,-0.6001348868510061,-0.0195637229800116,0.0083837627938062,5.0105018860097125e-16
USBonds,defensive_momentum_nc,late,2019-04-18,2025-12-11,0.4305344600036297,0.5407023257708744,0.1271779395267385,-0.6734635158604388,-0.0241403169038972,0.0443514952627988,7.941397107737155e-16
USBonds,ensemble_continuous_nc,early,2006-01-04,2012-08-22,-0.0258007250626428,-0.1211415698403195,0.3255620252403028,-0.5600484999999974,-0.055522114852378,0.013463119374514,5.691900276537518e-16
USBonds,ensemble_continuous_nc,middle,2012-08-23,2019-04-17,0.394301451399345,-0.0070233743071411,0.3000707018016243,-0.4467983239885919,-0.0393056648590446,-0.0113581790852267,8.90868580660681e-16
USBonds,ensemble_continuous_nc,late,2019-04-18,2025-12-11,0.0560748327484622,0.1662426985157069,0.2161261435893224,-0.5845153117978549,-0.0394311329718443,0.0290606791948517,8.178936915699881e-16
USBonds,reversal_continuous_nc,early,2006-01-04,2012-08-22,0.3326345117125397,0.237293666934863,0.4932479426001219,-0.3923625826401783,-0.0799399572063672,-0.0109547229794751,6.964788401013168e-16
USBonds,reversal_continuous_nc,middle,2012-08-23,2019-04-17,-0.6260819385526997,-1.0274067642591858,0.3984866187856578,-0.3483824070045583,-0.0616766220175412,-0.0337291362437233,9.423885187712598e-16
USBonds,reversal_continuous_nc,late,2019-04-18,2025-12-11,0.0535418627345287,0.1637097285017733,0.4832013648982025,-0.3174400904889748,-0.0395695352532597,0.0289222769134362,6.436708183202907e-16
Country,defensive_momentum_nc,early,2006-02-28,2012-09-24,-0.0370547882501462,-0.0034891396536238,0.2225533182374091,-0.6681447341738556,-0.0612006629059904,0.0263552534322566,3.193134444367357e-16
Country,defensive_momentum_nc,middle,2012-09-25,2019-04-29,0.0908726001577833,0.1423661393325359,0.2330918730335103,-0.7464425088092259,-0.0547991678366354,0.0506047226776013,2.798907046295882e-16
Country,defensive_momentum_nc,late,2019-04-30,2025-11-28,0.1238592213659406,0.3701652775442472,0.2564827787996894,-0.6740600373853607,-0.041503081223521,0.1361795727043284,5.538538826021879e-16
Country,ensemble_continuous_nc,early,2006-02-28,2012-09-24,-0.0874636668664643,-0.0538980182699418,0.477616298851668,-0.4130817535595967,-0.080183548204059,0.007372368134188,5.300424735763254e-16
Country,ensemble_continuous_nc,middle,2012-09-25,2019-04-29,0.1461442965571364,0.1976378357318891,0.4809222125402429,-0.4986121693024933,-0.0941221044551192,0.0112817860591174,5.177734899802546e-16
Country,ensemble_continuous_nc,late,2019-04-30,2025-11-28,0.2075423465896697,0.4538484027679763,0.5476981800558226,-0.3828446361292276,-0.0971160422691962,0.0805666116586533,9.19539903038835e-16
Country,reversal_continuous_nc,early,2006-02-28,2012-09-24,-0.0620634987660738,-0.0284978501695514,0.6929757909082527,-0.1977222615030121,-0.1045038870246947,-0.0169479706864476,4.820223533118816e-16
Country,reversal_continuous_nc,middle,2012-09-25,2019-04-29,-0.0130769405403867,0.0384165986343659,0.6611606182633392,-0.318373763579397,-0.0918904335781195,0.0135134569361171,4.597093071628071e-16
Country,reversal_continuous_nc,late,2019-04-30,2025-11-28,0.4079422834422034,0.65424833962051,0.705484388193269,-0.2250584279917812,-0.0608346022861393,0.1168480516417102,6.373123947702437e-16
